No.,Time,Source,Destination,Protocol,Length,Info,,,,,Fake
138,0.094236,,,CAN,40,STD: 0x00000091   80 27 08 0a 05 00 00 24,,,,,
139,0.094477,,,CAN,40,STD: 0x0000013c   00 19 00 18 00 00 04 3e,,,,,
140,0.094477,,,CAN,40,STD: 0x0000013c   00 19 00 18 00 00 04 3e,,,,,
141,0.094727,,,CAN,40,STD: 0x00000158   00 00 00 00 00 00 00 37,,,,,
142,0.094975,,,CAN,40,STD: 0x0000017c   00 00 02 cf 00 00 00 34,,,,,
143,0.095213,,,CAN,40,STD: 0x00000191   01 00 00 a9 a9 01 7f 3c,,,,,
144,0.095391,,,CAN,40,STD: 0x0000019b   00 55 00 00 27,,,,,
145,0.095989,,,CAN,40,STD: 0x000001a6   00 00 00 58 49 80 00 05,,,,,
146,0.098778,,,CAN,40,STD: 0x00000156   ff f0 00 00 07 35,,,,,
147,0.099866,,,CAN,40,STD: 0x0000018e   08 1e 0a,,,,,
148,0.104243,,,CAN,40,STD: 0x000001a4   00 66 00 00 00 00 00 1c,,,,,
149,0.104476,,,CAN,40,STD: 0x00000091   80 27 08 06 05 00 00 37,,,,,
150,0.104718,,,CAN,40,STD: 0x0000013c   00 19 00 18 00 00 04 01,,,,,
151,0.104966,,,CAN,40,STD: 0x00000158   00 00 00 00 00 00 00 0a,,,,,
152,0.105214,,,CAN,40,STD: 0x0000017c   00 00 02 cf 00 00 00 07,,,,,
153,0.105452,,,CAN,40,STD: 0x00000191   01 00 00 a9 a9 01 7f 0f,,,,,
154,0.105635,,,CAN,40,STD: 0x0000019b   00 55 00 00 36,,,,,
155,0.105879,,,CAN,40,STD: 0x000001aa   7f ff 00 00 00 00 00 1e,,,,,
156,0.106103,,,CAN,40,STD: 0x000001b0   00 0f 00 00 00 01 57,,,,,
157,0.106352,,,CAN,40,STD: 0x000001d0   00 00 00 00 00 00 00 0a,,,,,
158,0.106503,,,CAN,40,STD: 0x00000039   00 00 2a,,,,,
159,0.10667,,,CAN,40,STD: 0x000001dc   02 02 cf 0f,,,,,
160,0.106918,,,CAN,40,STD: 0x000001ea   00 00 00 00 00 00 00 1e,,,,,
161,0.107066,,,CAN,40,STD: 0x000001ed   01 ff 0d,,,,,
162,0.107304,,,CAN,40,STD: 0x00000255   00 00 00 00 55 55 68 ee,,,,,
163,0.108775,,,CAN,40,STD: 0x00000156   ff f0 00 00 07 08,,,,,
164,0.109989,,,CAN,40,STD: 0x0000018e   08 1d 1a,,,,,
165,0.114235,,,CAN,40,STD: 0x00000091   80 27 08 06 05 00 00 0a,,,,,
166,0.114479,,,CAN,40,STD: 0x0000013c   00 19 00 19 00 00 04 1f,,,,,
167,0.114728,,,CAN,40,STD: 0x00000158   00 00 00 00 00 00 00 19,,,,,
168,0.114975,,,CAN,40,STD: 0x0000017c   00 00 02 cf 00 00 00 16,,,,,
169,0.115211,,,CAN,40,STD: 0x00000191   01 00 00 a9 a9 01 7f 1e,,,,,
170,0.115396,,,CAN,40,STD: 0x0000019b   00 55 00 00 09,,,,,fake
171,0.1159,,,CAN,40,STD: 0x000001a6   00 00 00 58 49 80 00 14,,,,,
172,0.116051,,,CAN,40,STD: 0x00000221   00 00 9a,,,,,
173,0.116304,,,CAN,40,STD: 0x00000294   00 00 00 01 6e 1d 00 15,,,,,
174,0.116473,,,CAN,40,STD: 0x00000295   00 00 00 17,,,,,
175,0.118778,,,CAN,40,STD: 0x00000156   ff f0 00 00 07 17,,,,,
176,0.120003,,,CAN,40,STD: 0x0000018e   08 1c 2a,,,,,
177,0.120003,,,CAN,41,STD: 0x0000018e   08 1c 2a,,,,,
178,0.124241,,,CAN,40,STD: 0x000001a4   00 66 00 00 00 00 00 2b,,,,,
179,0.124472,,,CAN,40,STD: 0x00000091   80 27 08 0a 05 00 00 15,,,,,
180,0.124712,,,CAN,40,STD: 0x0000013c   00 19 00 19 00 00 04 2e,,,,,
181,0.12496,,,CAN,40,STD: 0x00000158   00 00 00 00 00 00 00 28,,,,,
182,0.125212,,,CAN,40,STD: 0x0000017c   00 00 02 d0 00 00 00 23,,,,,
183,0.125448,,,CAN,40,STD: 0x00000191   01 00 00 a9 a9 01 7f 2d,,,,,
184,0.12563,,,CAN,40,STD: 0x0000019b   00 55 00 00 18,,,,,
185,0.125881,,,CAN,40,STD: 0x000001aa   7f ff 00 00 00 00 00 2d,,,,,
186,0.126108,,,CAN,40,STD: 0x000001b0   00 0f 00 00 00 01 66,,,,,
187,0.126356,,,CAN,40,STD: 0x000001d0   00 00 00 00 00 00 00 0a,,,,,
188,0.126517,,,CAN,40,STD: 0x000001dc   02 02 d0 1c,,,,,
189,0.126772,,,CAN,40,STD: 0x000001ea   00 00 00 00 00 00 00 2d,,,,,
190,0.12692,,,CAN,40,STD: 0x000001ed   01 ff 1c,,,,,
191,0.128775,,,CAN,40,STD: 0x00000156   ff f0 00 00 07 26,,,,,
192,0.129994,,,CAN,40,STD: 0x0000018e   08 1c 39,,,,,
193,0.134242,,,CAN,40,STD: 0x00000091   80 27 08 0a 05 00 00 24,,,,,
194,0.134483,,,CAN,40,STD: 0x0000013c   00 19 00 19 00 00 04 3d,,,,,
195,0.134733,,,CAN,40,STD: 0x00000158   00 00 00 00 00 00 00 37,,,,,
196,0.134982,,,CAN,40,STD: 0x0000017c   00 00 02 d0 00 00 00 32,,,,,
197,0.135219,,,CAN,40,STD: 0x00000191   01 00 00 a9 a9 01 7f 3c,,,,,
198,0.135396,,,CAN,40,STD: 0x0000019b   00 55 00 00 27,,,,,
199,0.136115,,,CAN,40,STD: 0x000001a6   00 00 00 58 49 80 00 23,,,,,
200,0.138776,,,CAN,40,STD: 0x00000156   ff f0 00 00 07 35,,,,,
201,0.139629,,,CAN,40,STD: 0x00000305   00 64 00 00 00 00 24,,,,,
202,0.139999,,,CAN,40,STD: 0x0000018e   08 1b 0d,,,,,
203,0.144252,,,CAN,40,STD: 0x000001a4   00 66 00 00 00 00 00 3a,,,,,
204,0.144484,,,CAN,40,STD: 0x00000091   80 27 08 0a 05 00 00 33,,,,,
205,0.144732,,,CAN,40,STD: 0x0000013c   00 19 00 19 00 00 04 00,,,,,
206,0.144979,,,CAN,40,STD: 0x00000158   00 00 00 00 00 00 00 0a,,,,,
207,0.145227,,,CAN,40,STD: 0x0000017c   00 00 02 d0 00 00 00 05,,,,,
208,0.145465,,,CAN,40,STD: 0x00000191   01 00 00 a9 a9 01 7f 0f,,,,,
